codigo_alt,entidad,tipo_entidad,depto,anio,clasificacion_ofpuj,total_recaudo
23001,Montería,Municipio,Córdoba,2024,Sobretasa ambiental,9095214372
23001,Montería,Municipio,Córdoba,2024,Sobretasa ambiental,1321531657
23001,Montería,Municipio,Córdoba,2024,Impuesto predial unificado,60303050596
23001,Montería,Municipio,Córdoba,2024,Impuesto predial unificado,8935640732
23001,Montería,Municipio,Córdoba,2024,Sobretasa a la gasolina,24217583000
23001,Montería,Municipio,Córdoba,2024,Impuesto de industria y comercio,26244595534
23001,Montería,Municipio,Córdoba,2024,Impuesto de industria y comercio,1433259681
23001,Montería,Municipio,Córdoba,2024,Impuesto de industria y comercio,65575691033
23001,Montería,Municipio,Córdoba,2024,Impuesto complementario de avisos y tableros,7893252818
23001,Montería,Municipio,Córdoba,2024,Otros ingresos tributarios,442926115
23001,Montería,Municipio,Córdoba,2024,Impuesto de delineacion,1024040625
23001,Montería,Municipio,Córdoba,2024,Otros ingresos tributarios,1084673979
23001,Montería,Municipio,Córdoba,2024,Impuesto de alumbrado publico,67486643859
23001,Montería,Municipio,Córdoba,2024,Sobretasa bomberil,4653701523
23001,Montería,Municipio,Córdoba,2024,Otros ingresos tributarios,3803363248
23001,Montería,Municipio,Córdoba,2024,Otros ingresos tributarios,5926913297
23001,Montería,Municipio,Córdoba,2024,Otros ingresos tributarios,3677405915
23001,Montería,Municipio,Córdoba,2024,Tasa prodeporte y recreacion,2682688771
23001,Montería,Municipio,Córdoba,2024,Estampillas,5920725379
23001,Montería,Municipio,Córdoba,2024,Estampillas,3245104687
23001,Montería,Municipio,Córdoba,2024,Estampillas,514440751
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",120859317
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",6812195424
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",508205457
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",467626741
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",3294413112
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",6282995439
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",4293307400
23001,Montería,Municipio,Córdoba,2024,"Tasas, multas y contribuciones",1673242509
